name,realism,deformation,imagination,color_richness,color_contrast,line_combination,line_texture,picture_organization,transformation
0148.png,2,4,5,4,4,3,3,3,4
0149.png,1,4,5,4,3,2,3,3,4
0150.png,3,2,4,3,3,4,3,4,3
0151.png,3,4,4,4,4,3,3,4,4
0152.png,3,4,4,2,3,4,4,4,4
0153.png,1,4,5,5,4,4,3,4,4
0154.png,1,4,5,5,4,3,2,3,4
0155.png,1,4,5,5,4,3,2,4,4
0156.png,2,3,4,3,4,3,3,3,3
0157.png,2,3,4,4,4,3,3,3,3
0158.png,1,4,4,3,3,3,2,3,4
0159.png,2,3,4,4,4,3,3,3,3
0160.png,2,3,4,4,4,3,3,3,3
0161.png,2,1,3,3,4,2,2,3,1
0162.png,1,4,5,4,3,3,2,3,4
0163.png,1,4,5,3,3,4,3,3,4
0164.png,1,4,5,3,3,4,4,3,4
0165.png,1,4,5,4,4,4,3,4,5
0166.png,2,4,4,3,3,2,2,3,4
0167.png,1,4,5,4,3,3,2,3,4
0168.png,1,4,5,3,4,3,2,3,4
0169.png,1,4,5,4,4,3,2,3,4
0170.png,1,4,5,3,4,3,3,3,4
0171.png,2,4,5,4,4,3,3,3,4
0172.png,1,3,4,1,1,3,2,2,3
0173.png,2,4,5,4,5,3,3,3,4
0174.png,2,4,5,5,5,3,3,4,4
0175.png,1,3,4,3,2,3,2,3,3
0176.png,1,4,5,3,3,2,2,2,4
0177.png,1,4,5,4,3,2,2,3,4
0178.png,2,3,4,3,3,3,3,3,3
0179.png,1,4,5,4,4,3,2,3,4
0180.png,1,4,5,3,4,3,3,3,4
0181.png,2,4,4,3,4,3,3,3,4
0182.png,2,3,4,3,3,3,2,3,3
0183.png,2,4,4,3,3,4,4,3,4
0184.png,2,3,4,3,3,3,3,3,3
0185.png,2,3,4,4,4,3,3,3,3
0186.png,2,4,5,4,3,4,3,4,5
0187.png,2,4,5,3,3,4,3,4,4
0188.png,1,4,5,3,3,4,3,4,4
0189.png,1,4,5,3,4,3,2,3,4
0190.png,1,3,4,3,2,3,2,3,3
0191.png,1,3,4,3,2,3,2,3,3
0192.png,1,4,5,4,4,3,3,3,4
0193.png,2,3,4,3,3,4,4,4,3
0194.png,1,4,5,3,4,2,2,3,4
0195.png,1,3,4,3,3,2,2,3,3
0196.png,1,3,4,1,1,3,2,3,3
0197.png,2,4,5,4,4,3,3,3,4
0198.png,1,3,4,1,1,3,2,3,3
0199.png,1,3,4,2,2,3,3,3,3
0200.png,2,4,5,3,3,4,3,4,4
0201.png,1,4,5,4,4,3,2,3,4
0202.png,1,3,4,3,2,2,2,3,3
0203.png,2,4,5,4,3,4,3,4,4
0204.png,2,3,4,3,3,3,3,3,3
0205.png,2,4,5,4,4,4,4,3,4
0206.png,3,2,4,3,3,4,3,4,3
0207.png,2,3,4,3,3,3,4,3,4
0208.png,2,3,4,3,4,3,3,3,3
0209.png,2,3,4,5,4,3,2,3,3
0210.png,3,2,4,3,3,3,2,4,3
0211.png,2,4,5,5,4,3,3,4,4
0212.png,2,4,5,4,5,3,3,4,4
0213.png,1,4,5,3,3,3,2,3,4
0214.png,2,3,4,3,3,4,3,3,3
0215.png,2,3,4,4,3,3,3,3,3
0216.png,2,4,5,4,3,4,4,3,4
0217.png,2,3,4,4,5,3,2,4,3
0218.png,2,4,5,5,5,3,3,4,4
0219.png,2,4,5,5,4,3,3,4,4
0220.png,1,4,5,5,4,3,2,3,4
0221.png,2,4,4,3,3,3,3,3,4
0222.png,2,4,5,4,3,3,2,3,4
0223.png,2,4,5,3,4,4,3,4,5
0224.png,2,4,5,3,4,3,2,3,4
0225.png,2,3,4,4,3,3,2,3,3
0226.png,2,4,5,3,4,4,3,3,5
0227.png,2,4,5,4,4,3,3,4,5
0228.png,2,4,5,4,3,3,3,4,5
0229.png,2,4,5,3,3,4,4,3,4
0230.png,2,4,5,4,3,3,2,4,5
0231.png,1,3,4,4,4,3,2,3,3
0232.png,1,4,5,1,1,1,1,1,4
0233.png,1,3,4,3,3,2,2,3,3
0234.png,1,3,4,3,3,2,2,2,3
0235.png,1,2,3,4,4,2,2,2,2
0236.png,1,3,4,3,2,3,3,2,2
0237.png,1,4,4,3,2,3,2,2,3
0238.png,1,4,5,3,2,3,2,3,4
0239.png,1,3,4,3,2,3,2,2,3
0240.png,1,4,4,2,2,2,2,2,4
0241.png,2,4,5,4,4,3,3,4,5
0242.png,1,4,5,4,4,3,3,3,4
0243.png,2,4,5,3,4,3,3,3,4
0244.png,1,4,5,5,5,4,4,3,4
0245.png,1,4,5,2,3,4,3,3,4
0246.png,2,4,5,3,4,4,3,4,4
0247.png,2,4,5,1,3,4,4,4,4
0248.png,1,4,5,4,4,3,3,3,4
0249.png,2,4,5,4,4,3,3,3,4
0250.png,2,3,4,3,3,3,3,3,3
0251.png,2,4,5,3,4,5,5,4,5
0252.png,2,4,5,5,5,4,3,4,4
0253.png,2,4,5,4,4,3,3,3,4
0254.png,2,4,5,4,3,4,3,3,4
0255.png,2,4,5,4,4,3,3,4,4
0256.png,2,4,4,4,3,3,3,3,4
0257.png,1,4,5,3,3,4,4,3,4
0258.png,1,4,5,3,4,3,3,3,4
0259.png,2,4,5,3,4,4,4,4,5
0260.png,1,4,5,4,5,3,3,4,5
0261.png,1,4,5,3,2,4,4,3,4
0262.png,1,4,5,4,3,3,4,2,4
0263.png,1,4,5,4,3,4,3,4,5
0264.png,1,4,5,4,3,3,2,3,4
0265.png,2,3,4,3,4,3,2,3,3
0266.png,1,4,5,5,4,3,2,4,4
0267.png,1,4,5,3,4,4,3,3,4
0268.png,1,4,5,5,4,3,2,3,4
0269.png,2,3,4,4,4,3,2,3,3
0270.png,1,4,5,5,5,3,2,3,4
0271.png,2,4,4,3,4,4,3,3,4
0272.png,1,4,5,4,4,3,2,3,4
0273.png,1,4,5,3,3,4,2,3,4
0274.png,2,3,4,4,4,3,3,3,3
0275.png,2,3,4,4,3,3,2,3,3
0276.png,2,3,4,4,4,3,2,3,3
0277.png,1,4,5,4,3,3,2,3,4
0278.png,1,4,5,5,4,3,3,3,4
0279.png,2,3,4,4,5,4,3,3,3
0280.png,2,3,4,5,4,3,3,4,3
0281.png,2,4,5,4,4,3,3,3,4
0282.png,2,3,4,3,3,3,2,3,3
0283.png,1,3,4,3,3,2,2,3,3
0284.png,1,4,5,4,4,3,2,3,4
0285.png,3,2,4,4,4,3,3,3,3
0286.png,2,4,5,4,4,3,3,3,4
0287.png,1,4,5,4,4,3,2,3,4
0288.png,1,4,5,5,4,3,3,3,4
0289.png,1,4,5,4,3,3,2,3,4
0290.png,2,3,4,3,3,3,2,3,3
0291.png,1,4,5,3,2,3,2,3,4
0292.png,2,4,5,4,4,3,3,3,4
0293.png,1,4,5,3,3,4,2,4,5
0294.png,1,4,4,3,3,2,2,3,4
0295.png,2,4,5,5,4,3,3,4,4
0296.png,1,4,5,3,3,2,2,3,4
0297.png,1,3,4,2,3,3,2,3,3
0298.png,1,4,5,1,2,5,5,4,5
0299.png,1,4,5,2,3,4,3,3,4
0300.png,1,4,3,2,3,4,3,3,4
0301.png,1,4,4,3,3,4,3,3,4
0302.png,1,3,4,1,1,3,2,3,3
0303.png,1,4,5,3,4,4,3,3,4
0304.png,1,4,5,3,4,4,3,3,4
0305.png,1,4,5,3,4,4,3,3,4
0306.png,1,4,5,3,4,4,4,3,4
0307.png,1,4,5,3,3,4,4,3,4
0308.png,1,4,5,3,4,2,3,2,4
0309.png,1,4,5,4,3,3,4,3,4
0310.png,1,4,5,4,3,3,3,2,4
0311.png,2,4,4,3,4,3,3,3,4
0312.png,2,4,5,4,4,3,3,3,4
0313.png,1,4,5,4,4,3,2,4,5
0314.png,2,4,5,5,4,3,3,4,4
0315.png,2,3,4,3,3,4,3,4,3
0316.png,1,3,4,3,2,3,2,3,3
0317.png,1,3,4,4,4,3,2,3,3
0318.png,3,2,4,3,3,4,4,4,3
0319.png,2,3,4,3,3,3,2,3,3
0320.png,2,4,5,3,3,4,3,4,5
0321.png,2,3,4,3,3,3,2,3,3
0322.png,2,4,5,4,3,3,3,3,4
0323.png,2,4,5,4,4,3,3,3,4
0324.png,2,4,5,4,3,3,4,3,4
0325.png,3,2,4,4,3,3,3,4,3
0326.png,2,4,5,4,3,4,3,3,4
0327.png,2,4,5,4,3,4,3,4,4
0328.png,3,2,4,4,3,3,3,4,3
0329.png,2,4,5,3,4,3,3,4,5
0330.png,2,4,5,3,3,4,3,4,4
0331.png,2,3,4,3,3,3,2,3,3
0332.png,2,4,5,4,4,3,3,3,4
0333.png,1,4,5,3,4,4,4,4,5
0334.png,2,4,5,4,4,3,3,4,5
0335.png,2,4,5,4,5,3,3,4,4
0336.png,1,4,5,5,4,4,4,3,4
0337.png,2,4,4,3,3,3,3,3,4
0338.png,1,4,4,3,2,4,3,3,4
0339.png,1,4,5,4,4,3,2,3,4
0340.png,1,4,5,4,4,3,2,3,4
0341.png,1,4,5,4,3,4,4,3,5
0342.png,1,3,4,4,3,2,2,3,3
0343.png,2,4,4,4,3,3,3,3,4
0344.png,2,3,4,4,4,3,3,3,3
0345.png,1,4,5,4,3,3,3,4,4
0346.png,1,3,4,3,2,3,2,3,3
0347.png,2,4,5,4,4,3,3,3,4
0348.png,1,3,4,3,3,2,2,3,3
0349.png,1,3,4,4,3,3,2,3,3
0350.png,1,4,5,5,4,3,3,3,4
0351.png,2,3,4,3,4,3,2,3,3
0352.png,1,4,5,4,4,3,2,3,4
0353.png,2,3,4,4,3,3,3,3,3
0354.png,1,4,5,3,4,4,3,4,5
0355.png,1,4,5,4,4,3,3,3,4
0356.png,1,4,5,3,3,4,2,3,4
0357.png,1,3,4,3,3,2,2,3,3
0358.png,1,4,5,3,3,3,2,3,4
0359.png,1,4,5,5,5,3,3,3,4
0360.png,1,4,5,3,4,3,2,3,4
0361.png,2,3,4,4,4,3,2,3,3
0362.png,1,5,5,5,4,3,2,3,5
0363.png,1,4,5,4,4,3,2,3,4
0364.png,1,4,5,4,3,3,3,3,4
0365.png,1,4,5,3,4,3,2,3,4
0366.png,1,4,5,4,3,3,2,3,4
0367.png,1,4,5,3,3,2,3,2,4
0368.png,1,4,5,4,3,3,2,3,4
0369.png,1,4,4,2,3,3,2,2,3
0370.png,1,4,5,5,5,3,2,4,4
0371.png,1,4,5,3,2,4,3,3,4
0372.png,2,4,5,4,3,3,2,4,4
0373.png,1,4,5,5,5,4,3,4,5
0374.png,1,4,5,5,4,3,3,3,4
0375.png,1,4,5,4,5,3,3,3,4
0376.png,1,4,4,3,3,3,2,3,4
0377.png,1,5,5,4,4,3,3,3,5
0378.png,2,4,5,3,3,4,4,4,5
0379.png,2,3,4,4,4,3,3,3,3
0380.png,2,4,5,3,3,4,4,4,4
0381.png,1,4,5,5,4,3,2,3,4
0382.png,1,4,5,5,4,3,2,3,4
0383.png,1,4,5,4,3,2,2,3,4
0384.png,1,4,5,4,3,3,2,3,4
0385.png,1,4,5,3,3,4,4,3,4
0386.png,1,4,5,5,4,3,3,3,4
0387.png,1,3,4,3,3,2,2,3,3
0388.png,1,4,5,4,5,3,4,3,4
0389.png,2,3,4,3,4,3,2,3,3
0390.png,2,4,5,4,3,4,3,3,4
0391.png,2,4,5,4,4,3,3,4,4
0392.png,2,3,4,4,3,3,3,3,4
0393.png,2,4,5,4,4,3,3,3,4
0394.png,1,4,5,5,5,4,3,4,5
0395.png,1,4,5,4,4,3,2,3,4
0396.png,1,4,5,4,3,3,2,3,4
0397.png,2,4,4,3,3,3,2,3,4
0398.png,1,4,5,4,3,3,2,3,4
0399.png,1,4,5,4,3,3,2,3,4
0400.png,2,4,5,5,5,4,4,4,4
0401.png,2,4,5,4,3,4,3,4,4
0402.png,2,4,5,4,4,3,3,3,4
0403.png,2,4,5,5,5,4,3,4,4
0404.png,2,4,5,5,4,4,3,4,5
0405.png,1,4,5,5,5,4,3,4,4
0406.png,1,4,5,4,3,3,2,3,4
0407.png,1,3,4,3,3,2,2,3,3
0408.png,2,3,4,3,3,3,2,3,3
0409.png,2,3,4,4,4,3,2,3,3
0410.png,1,4,5,4,3,4,3,3,4
0411.png,1,4,5,4,4,3,3,3,4
0412.png,2,3,4,4,4,3,3,3,3
0413.png,1,4,5,5,4,3,2,4,5
0414.png,1,3,4,3,3,2,2,3,3
0415.png,2,4,5,4,4,3,3,4,4
0416.png,1,4,5,4,3,3,2,3,4
0417.png,1,4,5,4,3,3,2,3,4
0418.png,1,4,5,4,3,3,2,3,4
0419.png,1,4,5,4,3,3,2,3,4
0420.png,1,4,5,4,4,3,2,3,4
0421.png,1,4,5,4,3,3,2,3,4
0422.png,2,3,4,5,4,3,2,4,3
0423.png,2,4,5,4,4,3,3,4,4
0424.png,2,4,5,4,4,3,3,4,4
0425.png,1,5,5,4,4,4,4,3,5
0426.png,1,4,5,3,3,2,2,3,4
0427.png,2,4,5,4,4,3,3,3,4
0428.png,1,4,5,3,2,3,3,3,4
0429.png,2,4,4,3,3,3,3,3,4
0430.png,2,3,4,4,5,3,3,3,3
0431.png,1,3,4,4,5,2,2,3,3
0432.png,2,3,4,4,4,3,3,4,3
0433.png,2,4,4,3,4,4,3,4,4
0434.png,1,3,4,3,3,2,2,3,3
0435.png,1,4,5,4,4,3,3,3,4
0436.png,2,4,5,4,4,3,3,3,4
0437.png,1,4,5,3,4,4,3,3,4
0438.png,2,4,5,4,4,3,3,3,4
0439.png,1,5,5,5,5,4,4,4,5
0440.png,1,4,5,4,5,4,3,4,5
0441.png,2,4,5,4,4,3,3,3,4
0442.png,1,4,5,5,4,4,3,4,5
0443.png,2,3,4,3,4,3,2,3,3
0444.png,2,4,5,4,4,3,3,3,4
0445.png,1,4,5,5,5,3,2,4,4
0446.png,2,4,5,4,5,3,3,4,4
0447.png,2,3,4,3,3,4,3,4,3
0448.png,2,3,4,3,4,3,2,3,3
0449.png,1,4,5,4,3,3,2,3,4
0450.png,2,4,5,5,5,4,3,4,4
0451.png,1,3,4,4,3,2,2,3,3
0452.png,1,4,5,4,4,3,2,4,5
0453.png,1,4,5,5,5,3,2,4,4
0454.png,1,4,5,4,4,3,2,3,4
0455.png,1,4,5,5,4,4,4,4,4
0456.png,1,4,5,5,4,4,3,4,4
0457.png,1,4,5,5,4,3,2,4,4
0458.png,1,4,5,3,4,4,3,4,5
0459.png,2,4,5,3,4,5,5,4,5
0460.png,1,4,5,4,5,4,3,4,5
0461.png,1,4,5,4,4,3,3,3,4
0462.png,2,3,4,3,4,3,3,3,3
0463.png,1,4,5,4,3,3,3,2,4
0464.png,1,4,5,4,4,5,5,4,5
0465.png,2,4,5,5,4,3,3,4,4
0466.png,1,4,5,5,4,4,3,4,5
0467.png,1,4,5,4,4,3,3,3,4
0468.png,1,5,5,4,4,4,3,4,5
0469.png,2,4,5,3,4,4,5,3,5
0470.png,2,3,4,4,4,3,3,3,3
0471.png,1,4,5,4,4,3,3,3,4
0472.png,1,4,4,1,1,3,2,3,3
0473.png,1,4,5,3,3,3,2,3,4
0474.png,1,4,5,4,3,3,2,3,4
0475.png,1,4,5,4,3,3,2,3,4
0476.png,2,4,5,3,4,3,4,3,4
0477.png,2,3,4,3,3,3,2,3,3
0478.png,2,4,5,5,4,3,3,3,4
0479.png,1,4,5,3,3,4,3,3,4
0480.png,1,4,5,4,3,4,3,4,5
0481.png,2,4,4,3,3,3,2,3,4
0482.png,2,4,5,3,4,3,3,3,4
0483.png,1,4,5,3,4,4,3,4,5
0484.png,1,4,5,4,5,3,2,3,4
0485.png,2,3,4,3,3,2,2,3,3
0486.png,1,4,5,3,4,4,3,3,4
0487.png,1,4,5,3,3,3,2,3,4
0488.png,1,4,5,3,3,4,4,3,4
0489.png,2,4,5,4,4,3,3,3,4
0490.png,1,4,5,3,4,3,2,3,4
0491.png,1,3,4,3,3,2,2,3,3
0492.png,1,4,5,3,3,3,2,3,4
0493.png,1,4,5,3,3,2,2,3,4
0494.png,2,4,5,4,4,3,3,4,5
0495.png,1,4,5,3,4,3,2,3,4
0496.png,2,3,4,4,4,3,3,3,4
0497.png,1,3,4,3,3,2,2,3,3
0498.png,1,4,5,3,4,3,2,3,4
0499.png,1,4,5,5,4,3,3,3,4
0500.png,1,4,5,3,3,2,2,2,4
0501.png,1,4,4,3,3,2,3,2,3
0502.png,1,4,5,4,3,3,2,3,4
0503.png,1,4,5,4,4,3,3,3,4
0504.png,1,4,5,4,3,2,2,3,4
0505.png,1,4,5,3,3,3,2,3,4
0506.png,1,4,5,3,4,3,2,3,4
0507.png,1,4,5,3,3,2,2,2,4
0508.png,1,4,5,3,3,4,3,3,4
0509.png,1,3,4,1,1,3,2,2,3
0510.png,1,3,4,2,3,3,2,2,3
0511.png,1,4,5,1,1,3,3,2,4
0512.png,2,4,5,3,3,4,3,4,4
0513.png,1,4,5,3,3,2,2,3,4
0514.png,1,4,4,2,3,3,2,3,4
0515.png,1,3,4,2,2,3,2,3,3
0516.png,1,4,5,4,3,3,2,3,4
0517.png,2,3,4,4,3,3,3,3,3
0518.png,1,4,5,3,3,4,3,4,4
0519.png,1,4,5,3,3,4,3,3,4
0520.png,2,4,5,4,3,3,3,3,4
0521.png,3,4,5,4,4,3,3,4,5
0522.png,2,3,4,3,3,3,2,3,3
0523.png,1,4,5,4,4,3,2,3,4
0524.png,2,4,5,4,3,4,3,4,4
0525.png,1,3,4,2,2,3,3,3,3
0526.png,1,3,4,3,2,3,3,2,3
0527.png,2,4,4,3,3,4,4,4,4
0528.png,2,4,5,4,3,3,3,4,5
0529.png,2,4,5,4,3,3,3,3,4
0530.png,1,4,4,3,3,3,2,3,4
0531.png,1,4,5,4,4,3,2,3,4
0532.png,2,3,4,3,3,2,2,3,3
0533.png,1,3,4,2,2,3,3,2,3
0534.png,1,3,4,1,1,3,2,2,3
0535.png,1,4,5,5,4,3,2,3,4
0536.png,1,4,5,4,4,3,3,3,4
0537.png,1,4,5,4,3,2,2,3,4
0538.png,1,3,4,4,4,3,2,3,3
0539.png,2,4,5,4,4,3,3,3,4
0540.png,1,4,5,3,2,3,3,4,4
0541.png,1,4,5,3,2,3,2,3,4
0542.png,1,4,5,4,3,2,3,2,4
0543.png,2,4,5,4,4,3,3,4,4
0544.png,2,4,4,3,4,3,2,3,4
0545.png,2,3,4,4,4,3,3,3,3
0546.png,1,4,5,4,4,3,3,3,4
0547.png,2,4,5,5,5,4,3,4,5
0548.png,3,4,4,4,3,4,4,4,4
0549.png,2,4,5,4,4,3,3,4,4
0550.png,1,3,4,2,2,3,2,3,3
0551.png,1,4,5,4,3,3,2,3,4
0552.png,2,3,4,3,3,4,4,3,3
0553.png,2,4,5,4,3,3,2,4,4
0554.png,1,3,4,2,3,3,2,3,3
0555.png,2,3,4,3,3,3,2,3,3
0556.png,2,3,4,3,3,3,2,3,3
0557.png,2,3,4,4,4,3,3,3,3
0558.png,1,4,5,4,3,3,2,3,4
0559.png,1,4,5,4,3,3,2,3,4
0560.png,2,3,4,3,4,3,2,3,3
0561.png,2,3,4,3,3,3,3,3,3
0562.png,1,4,5,2,3,4,3,3,4
0563.png,2,4,5,4,3,3,2,4,4
0564.png,2,4,5,4,3,3,3,3,4
0565.png,2,4,5,5,4,3,3,4,4
0566.png,2,4,5,4,3,4,4,4,4
0567.png,2,4,5,5,4,3,3,4,4
0568.png,1,4,5,3,3,4,4,3,4
0569.png,1,4,5,4,3,4,3,3,4
0570.png,2,4,5,5,4,3,3,4,4
0571.png,2,3,4,3,3,3,2,3,3
0572.png,2,4,5,4,3,3,2,3,4
0573.png,1,4,5,4,3,3,2,3,4
0574.png,1,4,5,4,4,3,2,3,4
0575.png,1,4,5,4,4,3,2,3,4
0576.png,2,4,5,4,3,4,3,4,4
0577.png,1,4,5,5,5,3,2,4,4
0578.png,1,4,5,4,4,3,3,3,5
0579.png,2,4,5,4,4,3,3,4,4
0580.png,1,4,5,4,3,3,2,3,4
0581.png,1,4,5,3,3,4,3,3,4
0582.png,1,4,5,4,4,3,3,3,4
0583.png,2,4,5,3,3,4,4,4,5
0584.png,1,4,5,3,4,3,2,3,4
0585.png,3,2,4,4,4,3,3,3,3
0586.png,2,4,4,3,3,4,4,3,4
0587.png,1,4,5,4,4,3,3,3,4
0588.png,1,4,5,4,4,3,4,3,4
0589.png,1,3,4,3,2,2,2,2,3
0590.png,1,4,5,3,3,2,2,3,4
0591.png,1,4,5,1,1,3,2,3,4
0592.png,1,3,4,2,2,3,3,2,3
0593.png,2,3,4,1,1,3,4,3,3
0594.png,1,4,5,5,4,3,3,3,4
0595.png,1,4,5,3,3,3,2,3,4
0596.png,1,4,5,4,3,3,2,3,4
0597.png,1,4,5,5,4,3,3,3,4
0598.png,1,3,4,4,4,3,2,3,2
0599.png,1,3,4,2,2,3,3,2,3
0600.png,1,4,5,4,3,3,4,3,4
0601.png,1,4,5,5,4,3,3,3,4
0602.png,1,4,5,5,4,3,4,3,4
0603.png,1,4,5,5,4,4,3,3,4
0604.png,2,3,4,4,4,3,3,3,3
0605.png,1,4,5,4,3,3,2,3,4
0606.png,1,4,5,3,4,3,2,3,4
0607.png,1,4,5,5,4,3,2,3,4
0608.png,2,4,5,4,3,4,4,3,4
0609.png,2,3,4,4,4,3,2,3,3
0610.png,1,4,4,3,3,3,2,3,4
0611.png,2,3,4,3,3,3,2,3,3
0612.png,2,4,5,5,4,3,3,4,4
0613.png,1,4,5,4,3,3,2,3,4
0614.png,1,4,5,4,5,4,3,4,5
0615.png,2,4,4,3,4,4,3,4,4
0616.png,1,4,5,3,4,4,3,4,5
0617.png,1,4,5,3,4,5,5,4,5
0618.png,2,3,4,4,4,3,3,3,3
0619.png,2,4,5,4,4,3,3,4,4
0620.png,2,4,5,4,4,3,3,4,4
0621.png,3,2,4,4,4,3,3,3,3
0622.png,2,4,5,4,4,3,3,4,5
0623.png,1,4,5,4,3,2,3,3,4
0624.png,1,4,5,1,1,4,3,3,4
0625.png,1,4,4,2,3,3,3,2,4
0626.png,1,4,5,4,4,3,2,3,4
0627.png,1,4,5,4,4,3,2,3,4
0628.png,2,4,4,3,3,4,4,3,4
0629.png,1,4,5,4,5,3,3,3,4
0630.png,1,3,4,2,3,3,3,2,3
0631.png,1,4,5,4,3,3,2,3,4
0632.png,2,4,4,3,3,2,3,3,4
0633.png,2,3,4,4,3,3,2,3,3
0634.png,1,3,4,3,3,2,2,3,3
0635.png,1,3,3,4,3,3,3,2,2
0636.png,1,3,4,4,4,3,3,3,3
0637.png,1,3,4,3,3,2,2,2,3
0638.png,2,3,4,3,3,3,2,3,3
0639.png,2,3,4,3,3,2,2,3,3
0640.png,2,4,4,3,3,3,2,3,4
0641.png,2,3,4,3,3,3,2,3,3
0642.png,1,3,4,2,3,3,2,2,3
0643.png,2,4,5,5,5,4,3,4,4
0644.png,2,3,4,4,4,3,3,3,3
0645.png,2,4,5,3,4,3,3,3,4
0646.png,2,3,4,4,4,3,3,3,3
0647.png,1,4,5,5,4,3,4,3,4
0648.png,1,4,5,3,3,2,2,3,4
0649.png,2,4,5,4,4,3,3,3,4
0650.png,2,4,4,3,3,3,4,3,4
0651.png,2,4,5,3,4,4,4,3,5
0652.png,1,4,5,3,3,2,3,3,4
0653.png,2,3,4,3,4,3,2,4,3
0654.png,2,4,5,4,3,3,3,3,4
0655.png,1,4,5,5,4,3,2,3,4
0656.png,2,4,5,4,3,3,4,3,4
0657.png,2,3,4,3,4,3,3,3,3
0658.png,1,4,5,3,2,3,2,2,4
0659.png,2,3,4,3,3,3,3,3,3
0660.png,2,3,4,3,2,3,3,3,3
0661.png,2,4,5,4,4,3,3,3,4
0662.png,2,4,4,3,3,3,3,3,4
0663.png,1,4,5,3,4,4,4,3,4
0664.png,1,4,5,4,4,3,2,3,4
0665.png,2,4,5,3,4,4,4,3,4
0666.png,1,4,5,3,4,4,3,3,4
0667.png,1,4,5,3,3,4,4,3,4
0668.png,1,4,5,4,4,3,3,3,4
0669.png,1,4,5,5,5,3,3,4,4
0670.png,1,4,5,3,3,2,2,3,4
0671.png,1,4,5,4,3,2,2,3,4
0672.png,1,4,5,4,3,3,2,3,4
0673.png,1,4,5,5,4,3,3,3,4
0674.png,1,4,5,4,3,3,2,3,4
0675.png,2,3,4,3,3,3,2,3,3
0676.png,1,3,4,4,3,2,2,3,3
0677.png,1,4,5,5,4,3,2,3,4
0678.png,2,4,5,3,3,3,3,3,4
0679.png,1,4,5,3,3,4,4,3,4
0680.png,1,3,4,2,2,3,2,2,3
0681.png,1,4,5,3,4,2,3,3,4
0682.png,1,4,5,5,4,3,3,3,4
0683.png,1,4,5,4,4,3,3,3,4
0684.png,1,4,5,4,3,3,4,3,4
0685.png,1,4,5,4,3,2,3,2,4
0686.png,1,4,5,4,4,3,2,3,4
0687.png,1,4,5,3,4,3,2,4,4
0688.png,1,4,5,3,4,3,2,3,4
0689.png,1,4,5,4,4,3,3,3,4
0690.png,1,4,5,5,4,3,2,3,4
0691.png,1,4,5,4,3,3,2,3,4
0692.png,3,4,5,4,5,4,4,4,4
0693.png,1,4,5,5,4,3,2,3,4
0694.png,1,4,5,3,4,3,4,3,4
0695.png,2,4,5,4,4,3,3,3,4
0696.png,1,3,4,3,4,3,2,3,3
0697.png,1,4,5,4,4,3,3,3,4
0698.png,1,4,5,4,4,3,2,3,4
0699.png,1,4,5,3,4,3,2,3,4
0700.png,2,3,4,4,5,3,3,4,3
0701.png,1,4,5,4,3,2,2,3,4
0702.png,2,4,5,3,4,4,4,4,5
0703.png,2,4,5,4,5,5,5,4,5
